2024-06-04 00:13:04,468 INFO  SnsAmbassador - Added Vehicle id=veh_56 position=GeoPoint{lat=40.743773,lon=-73.988995,alt=0.00} @time=85.000,000,000 s
2024-06-04 00:13:04,468 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_56 @time=85.000,000,000 s
2024-06-04 00:13:04,468 INFO  SnsAmbassador - Added Vehicle id=veh_58 position=GeoPoint{lat=40.744116,lon=-73.987861,alt=0.00} @time=85.000,000,000 s
2024-06-04 00:13:04,468 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_58 @time=85.000,000,000 s
2024-06-04 00:13:04,468 INFO  SnsAmbassador - Removed Node id=veh_41 @time=85.000,000,000 s
2024-06-04 00:13:04,493 INFO  SnsAmbassador - Added Vehicle id=veh_57 position=GeoPoint{lat=40.743773,lon=-73.988995,alt=0.00} @time=86.000,000,000 s
2024-06-04 00:13:04,493 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_57 @time=86.000,000,000 s
2024-06-04 00:13:04,543 INFO  SnsAmbassador - Removed Node id=veh_48 @time=88.000,000,000 s
2024-06-04 00:13:04,621 INFO  SnsAmbassador - Added Vehicle id=veh_60 position=GeoPoint{lat=40.743773,lon=-73.988995,alt=0.00} @time=91.000,000,000 s
2024-06-04 00:13:04,621 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_60 @time=91.000,000,000 s
2024-06-04 00:13:04,621 INFO  SnsAmbassador - Added Vehicle id=veh_62 position=GeoPoint{lat=40.744116,lon=-73.987861,alt=0.00} @time=91.000,000,000 s
2024-06-04 00:13:04,621 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_62 @time=91.000,000,000 s
2024-06-04 00:13:04,621 INFO  SnsAmbassador - Removed Node id=veh_45 @time=91.000,000,000 s
2024-06-04 00:13:04,644 INFO  SnsAmbassador - Added Vehicle id=veh_61 position=GeoPoint{lat=40.743773,lon=-73.988995,alt=0.00} @time=92.000,000,000 s
2024-06-04 00:13:04,644 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_61 @time=92.000,000,000 s
2024-06-04 00:13:04,690 INFO  SnsAmbassador - Removed Node id=veh_52 @time=94.000,000,000 s
2024-06-04 00:13:04,781 INFO  SnsAmbassador - Added Vehicle id=veh_64 position=GeoPoint{lat=40.743773,lon=-73.988995,alt=0.00} @time=97.000,000,000 s
2024-06-04 00:13:04,782 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_64 @time=97.000,000,000 s
2024-06-04 00:13:04,782 INFO  SnsAmbassador - Added Vehicle id=veh_66 position=GeoPoint{lat=40.744116,lon=-73.987861,alt=0.00} @time=97.000,000,000 s
2024-06-04 00:13:04,782 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_66 @time=97.000,000,000 s
2024-06-04 00:13:04,782 INFO  SnsAmbassador - Removed Node id=veh_49 @time=97.000,000,000 s
2024-06-04 00:13:04,815 INFO  SnsAmbassador - Added Vehicle id=veh_65 position=GeoPoint{lat=40.743773,lon=-73.988995,alt=0.00} @time=98.000,000,000 s
2024-06-04 00:13:04,815 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_65 @time=98.000,000,000 s
2024-06-04 00:13:04,866 INFO  SnsAmbassador - Removed Node id=veh_56 @time=100.000,000,000 s
2024-06-04 00:13:05,060 INFO  SnsAmbassador - Removed Node id=veh_10 @time=102.000,000,000 s
2024-06-04 00:13:05,084 INFO  SnsAmbassador - Added Vehicle id=veh_68 position=GeoPoint{lat=40.743773,lon=-73.988995,alt=0.00} @time=103.000,000,000 s
2024-06-04 00:13:05,084 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_68 @time=103.000,000,000 s
2024-06-04 00:13:05,084 INFO  SnsAmbassador - Added Vehicle id=veh_70 position=GeoPoint{lat=40.744116,lon=-73.987861,alt=0.00} @time=103.000,000,000 s
2024-06-04 00:13:05,084 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_70 @time=103.000,000,000 s
2024-06-04 00:13:05,084 INFO  SnsAmbassador - Removed Node id=veh_53 @time=103.000,000,000 s
2024-06-04 00:13:05,103 INFO  SnsAmbassador - Added Vehicle id=veh_69 position=GeoPoint{lat=40.743773,lon=-73.988995,alt=0.00} @time=104.000,000,000 s
2024-06-04 00:13:05,103 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_69 @time=104.000,000,000 s
2024-06-04 00:13:05,210 INFO  SnsAmbassador - Removed Node id=veh_14 @time=108.000,000,000 s
2024-06-04 00:13:05,235 INFO  SnsAmbassador - Added Vehicle id=veh_72 position=GeoPoint{lat=40.743773,lon=-73.988995,alt=0.00} @time=109.000,000,000 s
2024-06-04 00:13:05,235 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_72 @time=109.000,000,000 s
2024-06-04 00:13:05,235 INFO  SnsAmbassador - Added Vehicle id=veh_74 position=GeoPoint{lat=40.744116,lon=-73.987861,alt=0.00} @time=109.000,000,000 s
2024-06-04 00:13:05,235 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_74 @time=109.000,000,000 s
2024-06-04 00:13:05,235 INFO  SnsAmbassador - Removed Node id=veh_57 @time=109.000,000,000 s
2024-06-04 00:13:05,263 INFO  SnsAmbassador - Added Vehicle id=veh_73 position=GeoPoint{lat=40.743773,lon=-73.988995,alt=0.00} @time=110.000,000,000 s
2024-06-04 00:13:05,263 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_73 @time=110.000,000,000 s
2024-06-04 00:13:05,329 INFO  SnsAmbassador - Removed Node id=veh_60 @time=112.000,000,000 s
2024-06-04 00:13:05,383 INFO  SnsAmbassador - Removed Node id=veh_64 @time=114.000,000,000 s
2024-06-04 00:13:05,409 INFO  SnsAmbassador - Added Vehicle id=veh_76 position=GeoPoint{lat=40.743773,lon=-73.988995,alt=0.00} @time=115.000,000,000 s
2024-06-04 00:13:05,410 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_76 @time=115.000,000,000 s
2024-06-04 00:13:05,410 INFO  SnsAmbassador - Added Vehicle id=veh_78 position=GeoPoint{lat=40.744116,lon=-73.987861,alt=0.00} @time=115.000,000,000 s
2024-06-04 00:13:05,410 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_78 @time=115.000,000,000 s
2024-06-04 00:13:05,410 INFO  SnsAmbassador - Removed Node id=veh_61 @time=115.000,000,000 s
2024-06-04 00:13:05,433 INFO  SnsAmbassador - Added Vehicle id=veh_77 position=GeoPoint{lat=40.743773,lon=-73.988995,alt=0.00} @time=116.000,000,000 s
2024-06-04 00:13:05,433 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_77 @time=116.000,000,000 s
2024-06-04 00:13:05,489 INFO  SnsAmbassador - Removed Node id=veh_68 @time=118.000,000,000 s
2024-06-04 00:13:05,587 INFO  SnsAmbassador - Added Vehicle id=veh_80 position=GeoPoint{lat=40.743773,lon=-73.988995,alt=0.00} @time=121.000,000,000 s
2024-06-04 00:13:05,588 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_80 @time=121.000,000,000 s
2024-06-04 00:13:05,588 INFO  SnsAmbassador - Added Vehicle id=veh_81 position=GeoPoint{lat=40.744116,lon=-73.987861,alt=0.00} @time=121.000,000,000 s
2024-06-04 00:13:05,588 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_81 @time=121.000,000,000 s
2024-06-04 00:13:05,588 INFO  SnsAmbassador - Removed Node id=veh_22 @time=121.000,000,000 s
2024-06-04 00:13:05,588 INFO  SnsAmbassador - Removed Node id=veh_65 @time=121.000,000,000 s
2024-06-04 00:13:05,678 INFO  SnsAmbassador - Removed Node id=veh_72 @time=124.000,000,000 s
2024-06-04 00:13:05,745 INFO  SnsAmbassador - Added Vehicle id=veh_83 position=GeoPoint{lat=40.743773,lon=-73.988995,alt=0.00} @time=127.000,000,000 s
