2024-06-04 00:13:03,772 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_42" received at simulation time 60000000000 ns (subscribe=true)
2024-06-04 00:13:03,772 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_43" received at simulation time 60000000000 ns (subscribe=true)
2024-06-04 00:13:03,791 INFO  SumoGuiAmbassador - Receive VehicleStop request at simulation time 60.600,400,000 s: vehicleId="veh_18", edgeId="587061854_42434800_42429874", position="74.66855549656185", laneIndex=1, duration=5000000000, stopMode=STOP
2024-06-04 00:13:03,793 INFO  SumoGuiAmbassador - Receive VehicleResume request at simulation time 60.601,400,000 s: vehicleId="veh_10"
2024-06-04 00:13:03,794 WARN  VehicleFacade - Could not resume vehicle veh_10
2024-06-04 00:13:03,797 INFO  SumoGuiAmbassador - Receive VehicleResume request at simulation time 60.602,400,000 s: vehicleId="veh_18"
2024-06-04 00:13:03,797 WARN  VehicleFacade - Could not resume vehicle veh_18
2024-06-04 00:13:03,807 INFO  SumoGuiAmbassador - Adding new vehicle "veh_40" at simulation time 60000000000 ns (type=TrafficLightCarRed, routeId=1, laneId=0, departPos=0.00)
2024-06-04 00:13:03,808 INFO  SumoGuiAmbassador - Adding new vehicle "veh_41" at simulation time 60000000000 ns (type=TrafficLightCarGreen, routeId=3, laneId=0, departPos=0.00)
2024-06-04 00:13:03,809 INFO  SumoGuiAmbassador - Adding new vehicle "veh_42" at simulation time 60000000000 ns (type=TrafficLightCarBlue, routeId=5, laneId=0, departPos=0.00)
2024-06-04 00:13:03,809 INFO  SumoGuiAmbassador - Adding new vehicle "veh_43" at simulation time 60000000000 ns (type=TrafficLightCarYellow, routeId=5, laneId=0, departPos=0.00)
2024-06-04 00:13:03,812 INFO  SimulationFacade - Removed vehicle "veh_25" at simulation time 61000000000ns
2024-06-04 00:13:03,863 INFO  SimulationFacade - Removed vehicle "veh_32" at simulation time 64000000000ns
2024-06-04 00:13:03,898 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_44" received at simulation time 66000000000 ns (subscribe=true)
2024-06-04 00:13:03,898 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_45" received at simulation time 66000000000 ns (subscribe=true)
2024-06-04 00:13:03,898 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_46" received at simulation time 66000000000 ns (subscribe=true)
2024-06-04 00:13:03,898 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_47" received at simulation time 66000000000 ns (subscribe=true)
2024-06-04 00:13:03,913 INFO  SumoGuiAmbassador - Adding new vehicle "veh_44" at simulation time 66000000000 ns (type=TrafficLightCarRed, routeId=1, laneId=0, departPos=0.00)
2024-06-04 00:13:03,913 INFO  SumoGuiAmbassador - Adding new vehicle "veh_45" at simulation time 66000000000 ns (type=TrafficLightCarGreen, routeId=3, laneId=0, departPos=0.00)
2024-06-04 00:13:03,914 INFO  SumoGuiAmbassador - Adding new vehicle "veh_46" at simulation time 66000000000 ns (type=TrafficLightCarBlue, routeId=5, laneId=0, departPos=0.00)
2024-06-04 00:13:03,915 INFO  SumoGuiAmbassador - Adding new vehicle "veh_47" at simulation time 66000000000 ns (type=TrafficLightCarYellow, routeId=5, laneId=0, departPos=0.00)
2024-06-04 00:13:04,019 INFO  SimulationFacade - Removed vehicle "veh_29" at simulation time 67000000000ns
2024-06-04 00:13:04,076 INFO  SimulationFacade - Removed vehicle "veh_36" at simulation time 70000000000ns
2024-06-04 00:13:04,091 INFO  SumoGuiAmbassador - Receive VehicleStop request at simulation time 70.700,400,000 s: vehicleId="veh_10", edgeId="68668552_42429874_7372860100", position="0.819959556757766", laneIndex=1, duration=5000000000, stopMode=STOP
2024-06-04 00:13:04,092 INFO  SumoGuiAmbassador - Receive VehicleResume request at simulation time 70.700,900,000 s: vehicleId="veh_10"
2024-06-04 00:13:04,093 WARN  VehicleFacade - Could not resume vehicle veh_10
2024-06-04 00:13:04,093 INFO  SumoGuiAmbassador - Receive VehicleStop request at simulation time 70.701,400,000 s: vehicleId="veh_18", edgeId="587061854_42434800_42429874", position="74.66855549656185", laneIndex=1, duration=5000000000, stopMode=STOP
2024-06-04 00:13:04,096 INFO  SumoGuiAmbassador - Receive VehicleResume request at simulation time 70.702,400,000 s: vehicleId="veh_18"
2024-06-04 00:13:04,097 WARN  VehicleFacade - Could not resume vehicle veh_18
2024-06-04 00:13:04,143 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_48" received at simulation time 72000000000 ns (subscribe=true)
2024-06-04 00:13:04,143 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_49" received at simulation time 72000000000 ns (subscribe=true)
2024-06-04 00:13:04,143 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_50" received at simulation time 72000000000 ns (subscribe=true)
2024-06-04 00:13:04,143 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_51" received at simulation time 72000000000 ns (subscribe=true)
2024-06-04 00:13:04,158 INFO  SumoGuiAmbassador - Adding new vehicle "veh_48" at simulation time 72000000000 ns (type=TrafficLightCarRed, routeId=1, laneId=0, departPos=0.00)
2024-06-04 00:13:04,158 INFO  SumoGuiAmbassador - Adding new vehicle "veh_49" at simulation time 72000000000 ns (type=TrafficLightCarGreen, routeId=3, laneId=0, departPos=0.00)
2024-06-04 00:13:04,159 INFO  SumoGuiAmbassador - Adding new vehicle "veh_50" at simulation time 72000000000 ns (type=TrafficLightCarBlue, routeId=5, laneId=0, departPos=0.00)
2024-06-04 00:13:04,159 INFO  SumoGuiAmbassador - Adding new vehicle "veh_51" at simulation time 72000000000 ns (type=TrafficLightCarYellow, routeId=5, laneId=0, departPos=0.00)
2024-06-04 00:13:04,161 INFO  SimulationFacade - Removed vehicle "veh_33" at simulation time 73000000000ns
2024-06-04 00:13:04,203 INFO  SimulationFacade - Removed vehicle "veh_15" at simulation time 75000000000ns
2024-06-04 00:13:04,242 INFO  SimulationFacade - Removed vehicle "veh_6" at simulation time 77000000000ns
2024-06-04 00:13:04,262 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_52" received at simulation time 78000000000 ns (subscribe=true)
2024-06-04 00:13:04,262 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_53" received at simulation time 78000000000 ns (subscribe=true)
2024-06-04 00:13:04,262 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_54" received at simulation time 78000000000 ns (subscribe=true)
2024-06-04 00:13:04,262 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_55" received at simulation time 78000000000 ns (subscribe=true)
2024-06-04 00:13:04,283 INFO  SumoGuiAmbassador - Adding new vehicle "veh_52" at simulation time 78000000000 ns (type=TrafficLightCarRed, routeId=1, laneId=0, departPos=0.00)
2024-06-04 00:13:04,285 INFO  SumoGuiAmbassador - Adding new vehicle "veh_53" at simulation time 78000000000 ns (type=TrafficLightCarGreen, routeId=3, laneId=0, departPos=0.00)
2024-06-04 00:13:04,286 INFO  SumoGuiAmbassador - Adding new vehicle "veh_54" at simulation time 78000000000 ns (type=TrafficLightCarBlue, routeId=5, laneId=0, departPos=0.00)
2024-06-04 00:13:04,286 INFO  SumoGuiAmbassador - Adding new vehicle "veh_55" at simulation time 78000000000 ns (type=TrafficLightCarYellow, routeId=5, laneId=0, departPos=0.00)
2024-06-04 00:13:04,290 INFO  SimulationFacade - Removed vehicle "veh_37" at simulation time 79000000000ns
2024-06-04 00:13:04,332 INFO  SumoGuiAmbassador - Receive VehicleStop request at simulation time 80.800,400,000 s: vehicleId="veh_18", edgeId="587061854_42434800_42429874", position="74.66855549656185", laneIndex=1, duration=5000000000, stopMode=STOP
2024-06-04 00:13:04,333 INFO  SumoGuiAmbassador - Receive VehicleStop request at simulation time 80.800,900,000 s: vehicleId="veh_10", edgeId="68668552_42429874_7372860100", position="0.819959556757766", laneIndex=1, duration=5000000000, stopMode=STOP
2024-06-04 00:13:04,334 INFO  SumoGuiAmbassador - Receive VehicleResume request at simulation time 80.801,400,000 s: vehicleId="veh_18"
2024-06-04 00:13:04,335 WARN  VehicleFacade - Could not resume vehicle veh_18
2024-06-04 00:13:04,374 INFO  SimulationFacade - Removed vehicle "veh_40" at simulation time 82000000000ns
2024-06-04 00:13:04,396 INFO  SimulationFacade - Removed vehicle "veh_44" at simulation time 83000000000ns
2024-06-04 00:13:04,425 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_56" received at simulation time 84000000000 ns (subscribe=true)
2024-06-04 00:13:04,425 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_57" received at simulation time 84000000000 ns (subscribe=true)
2024-06-04 00:13:04,425 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_58" received at simulation time 84000000000 ns (subscribe=true)
2024-06-04 00:13:04,425 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_59" received at simulation time 84000000000 ns (subscribe=true)
2024-06-04 00:13:04,455 INFO  SumoGuiAmbassador - Adding new vehicle "veh_56" at simulation time 84000000000 ns (type=TrafficLightCarRed, routeId=1, laneId=0, departPos=0.00)
2024-06-04 00:13:04,456 INFO  SumoGuiAmbassador - Adding new vehicle "veh_57" at simulation time 84000000000 ns (type=TrafficLightCarGreen, routeId=3, laneId=0, departPos=0.00)
2024-06-04 00:13:04,457 INFO  SumoGuiAmbassador - Adding new vehicle "veh_58" at simulation time 84000000000 ns (type=TrafficLightCarBlue, routeId=5, laneId=0, departPos=0.00)
2024-06-04 00:13:04,458 INFO  SumoGuiAmbassador - Adding new vehicle "veh_59" at simulation time 84000000000 ns (type=TrafficLightCarYellow, routeId=5, laneId=0, departPos=0.00)
2024-06-04 00:13:04,461 INFO  SimulationFacade - Removed vehicle "veh_41" at simulation time 85000000000ns
2024-06-04 00:13:04,541 INFO  SimulationFacade - Removed vehicle "veh_48" at simulation time 88000000000ns
